id,name_wikitag,ppg,ppg_id,start_date,end_date,landtag_state_abb,electoralperiod
/wiki/Svenja_Schulze-nw-17,/wiki/Svenja_Schulze,SPD,SPD,2017-06-01,2018-03-16,nw,17
/wiki/Barbara_Steffens-nw-17,/wiki/Barbara_Steffens,GRÜNE,GRÜNE,2017-06-01,2018-05-11,nw,17
/wiki/Marco_Voge-nw-17,/wiki/Marco_Voge,CDU,CDU,2017-06-01,2020-11-01,nw,17
/wiki/Dirk_Wedel-nw-17,/wiki/Dirk_Wedel,FDP,FDP,2017-06-01,2017-06-29,nw,17
/wiki/R%C3%BCdiger_Wei%C3%9F-nw-17,/wiki/R%C3%BCdiger_Wei%C3%9F,SPD,SPD,2017-06-01,2021-05-31,nw,17
/wiki/Peter_Anheuser-rp-12,/wiki/Peter_Anheuser,CDU,CDU,1993-03-19,1996-05-19,rp,12
/wiki/Franz_Peter_Basten-rp-12,/wiki/Franz_Peter_Basten,CDU,CDU,1991-05-21,1994-11-08,rp,12
/wiki/Helmut_B%C3%A4uerle-rp-12,/wiki/Helmut_B%C3%A4uerle,SPD,SPD,1993-02-05,1996-05-19,rp,12
/wiki/Hans-Artur_Bauckhage-rp-12,/wiki/Hans-Artur_Bauckhage,FDP,FDP,1991-05-21,1996-05-19,rp,12
/wiki/Kurt_Beck-rp-12,/wiki/Kurt_Beck,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Dieter_Becker_(Politiker)-rp-12,/wiki/Dieter_Becker_(Politiker),SPD,SPD,1991-05-28,1996-05-19,rp,12
/wiki/Alfred_Beth-rp-12,/wiki/Alfred_Beth,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Elvira_Bickel-rp-12,/wiki/Elvira_Bickel,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Gisela_Bill-rp-12,/wiki/Gisela_Bill,Grüne,GRÜNE,1991-05-21,1996-05-19,rp,12
/wiki/Franz_Josef_Bischel-rp-12,/wiki/Franz_Josef_Bischel,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Kurt_B%C3%B6ckmann-rp-12,/wiki/Kurt_B%C3%B6ckmann,CDU,CDU,1991-05-21,1994-12-31,rp,12
/wiki/Christoph_B%C3%B6hr-rp-12,/wiki/Christoph_B%C3%B6hr,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Detlef_Bojak-rp-12,/wiki/Detlef_Bojak,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Ulla_Brede-Hoffmann-rp-12,/wiki/Ulla_Brede-Hoffmann,SPD,SPD,1995-01-13,1996-05-19,rp,12
/wiki/Ernst-G%C3%BCnter_Brinkmann-rp-12,/wiki/Ernst-G%C3%BCnter_Brinkmann,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Karl_Peter_Bruch-rp-12,/wiki/Karl_Peter_Bruch,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Rainer_Br%C3%BCderle-rp-12,/wiki/Rainer_Br%C3%BCderle,FDP,FDP,1991-05-21,1996-05-19,rp,12
/wiki/Peter_Caesar-rp-12,/wiki/Peter_Caesar,FDP,FDP,1991-05-21,1991-05-31,rp,12
/wiki/J%C3%BCrgen_Debus-rp-12,/wiki/J%C3%BCrgen_Debus,SPD,SPD,1991-05-21,1991-05-23,rp,12
/wiki/Hans_Hermann_Dieckvo%C3%9F-rp-12,/wiki/Hans_Hermann_Dieckvo%C3%9F,FDP,FDP,1991-05-21,1996-05-19,rp,12
/wiki/Ursula_Distelhut-rp-12,/wiki/Ursula_Distelhut,SPD,SPD,1991-05-21,1995-01-09,rp,12
/wiki/Harald_D%C3%B6rr-rp-12,/wiki/Harald_D%C3%B6rr,Grüne,GRÜNE,1991-05-21,1996-05-19,rp,12
/wiki/Birger_Ehrenberg-rp-12,/wiki/Birger_Ehrenberg,FDP,FDP,1991-05-21,1996-05-19,rp,12
/wiki/Burkard_Firsching-rp-12,/wiki/Burkard_Firsching,CDU,CDU,1995-03-30,1996-05-19,rp,12
/wiki/Rudolf_Franzmann-rp-12,/wiki/Rudolf_Franzmann,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Lutz_Frisch-rp-12,/wiki/Lutz_Frisch,CDU,CDU,1995-03-01,1996-05-19,rp,12
/wiki/Erika_Fritsche-rp-12,/wiki/Erika_Fritsche,Grüne,GRÜNE,1991-05-21,1996-05-19,rp,12
/wiki/Rudi_Geil-rp-12,/wiki/Rudi_Geil,CDU,CDU,1991-05-21,1993-03-27,rp,12
/wiki/Karl_August_Geimer-rp-12,/wiki/Karl_August_Geimer,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Georg_G%C3%B6lter-rp-12,/wiki/Georg_G%C3%B6lter,CDU,CDU,1991-05-21,1996-05-19,rp,12
"/wiki/Christoph_Grimm_(Politiker,_1943)-rp-12","/wiki/Christoph_Grimm_(Politiker,_1943)",SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Friedel_Gr%C3%BCtzmacher-rp-12,/wiki/Friedel_Gr%C3%BCtzmacher,Grüne,GRÜNE,1991-05-21,1996-05-19,rp,12
/wiki/Roland_H%C3%A4rtel-rp-12,/wiki/Roland_H%C3%A4rtel,SPD,SPD,1991-05-23,1996-05-19,rp,12
/wiki/Helga_Hammer-rp-12,/wiki/Helga_Hammer,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Klaus_Hammer_(Politiker)-rp-12,/wiki/Klaus_Hammer_(Politiker),SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Josef_Happ-rp-12,/wiki/Josef_Happ,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Hans-G%C3%BCnther_Heinz-rp-12,/wiki/Hans-G%C3%BCnther_Heinz,FDP,FDP,1991-05-21,1996-05-19,rp,12
/wiki/Michael_Henke_(Politiker)-rp-12,/wiki/Michael_Henke_(Politiker),Grüne,GRÜNE,1991-05-21,1996-05-19,rp,12
