"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BW.18","/wiki/Brigitte_L%C3%B6sch-bw-15","/wiki/Brigitte_L%C3%B6sch","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-05-11,2016-05-10,"bw",15
"BW.19","/wiki/Wolfgang_Drexler-bw-15","/wiki/Wolfgang_Drexler","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-05-11,2016-05-10,"bw",15
"BW.20","/wiki/Muhterem_Aras-bw-16","/wiki/Muhterem_Aras","Landtagspräsident/in","Landtagspräsident/in",2016-05-11,2021-05-10,"bw",16
"BW.21","/wiki/Sabine_Kurtz-bw-16","/wiki/Sabine_Kurtz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2018-04-25,2021-05-10,"bw",16
"BW.22","/wiki/Wilfried_Klenk-bw-16","/wiki/Wilfried_Klenk","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2016-05-11,2018-04-24,"bw",16
"BY.1","/wiki/Wilhelm_Vorndran-by-12","/wiki/Wilhelm_Vorndran","Landtagspräsident/in","Landtagspräsident/in",1990-10-24,1994-10-19,"by",12
"BY.2","/wiki/Siegfried_M%C3%B6slein-by-12","/wiki/Siegfried_M%C3%B6slein","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1990-10-24,1994-10-19,"by",12
"BY.3","/wiki/Helmut_Rothemund-by-12","/wiki/Helmut_Rothemund","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1990-10-24,1992-10-05,"by",12
"BY.4","/wiki/Karl-Heinz_Hiersemann-by-12","/wiki/Karl-Heinz_Hiersemann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1992-10-06,1994-10-19,"by",12
"BY.5","/wiki/Johann_B%C3%B6hm_(Politiker,_1937)-by-13","/wiki/Johann_B%C3%B6hm_(Politiker,_1937)","Landtagspräsident/in","Landtagspräsident/in",1994-10-20,1998-09-27,"by",13
"BY.6","/wiki/Karl-Heinz_Hiersemann-by-13","/wiki/Karl-Heinz_Hiersemann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-10-20,1998-09-27,"by",13
"BY.7","/wiki/Anneliese_Fischer-by-13","/wiki/Anneliese_Fischer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-10-20,1998-09-27,"by",13
"BY.8","/wiki/Johann_B%C3%B6hm_(Politiker,_1937)-by-14","/wiki/Johann_B%C3%B6hm_(Politiker,_1937)","Landtagspräsident/in","Landtagspräsident/in",1998-09-28,2003-10-05,"by",14
