"","id","name.wikitag","fraction","fraction.id","start.date","end.date","landtag.state.abb","electoralperiod"
"BW.708","/wiki/Katrin_Sch%C3%BCtz-bw-14","/wiki/Katrin_Sch%C3%BCtz","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.709","/wiki/Marcel_Schwehr-bw-14","/wiki/Marcel_Schwehr","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.710","/wiki/Uli_Sckerl-bw-14","/wiki/Uli_Sckerl","Grüne","GRÜNE",2006-06-13,2011-05-10,"bw",14
"BW.711","/wiki/Edith_Sitzmann-bw-14","/wiki/Edith_Sitzmann","Grüne","GRÜNE",2006-06-13,2011-05-10,"bw",14
"BW.712","/wiki/Gisela_Splett-bw-14","/wiki/Gisela_Splett","Grüne","GRÜNE",2006-06-13,2011-05-10,"bw",14
"BW.713","/wiki/Willi_St%C3%A4chele-bw-14","/wiki/Willi_St%C3%A4chele","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.714","/wiki/Wolfgang_Staiger-bw-14","/wiki/Wolfgang_Staiger","SPD","SPD",2006-06-13,2009-03-31,"bw",14
"BW.715","/wiki/Wolfgang_Stehmer-bw-14","/wiki/Wolfgang_Stehmer","SPD","SPD",2006-06-13,2011-05-10,"bw",14
"BW.716","/wiki/Rainer_Stickelberger-bw-14","/wiki/Rainer_Stickelberger","SPD","SPD",2006-06-13,2011-05-10,"bw",14
"BW.717","/wiki/Johannes_Stober-bw-14","/wiki/Johannes_Stober","SPD","SPD",2006-06-13,2011-05-10,"bw",14
"BW.718","/wiki/Andreas_Stoch-bw-14","/wiki/Andreas_Stoch","SPD","SPD",2009-04-01,2011-05-10,"bw",14
"BW.719","/wiki/Monika_Stolz-bw-14","/wiki/Monika_Stolz","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.720","/wiki/Gerhard_Stratthaus-bw-14","/wiki/Gerhard_Stratthaus","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.721","/wiki/Peter_Straub_(Politiker)-bw-14","/wiki/Peter_Straub_(Politiker)","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.722","/wiki/Klaus_Tappeser-bw-14","/wiki/Klaus_Tappeser","CDU","CDU",2006-06-13,2008-01-07,"bw",14
"BW.723","/wiki/Stefan_Teufel-bw-14","/wiki/Stefan_Teufel","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.724","/wiki/Michael_Theurer-bw-14","/wiki/Michael_Theurer","FDP","FDP",2006-06-13,2009-08-31,"bw",14
"BW.725","/wiki/Karl_Traub-bw-14","/wiki/Karl_Traub","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.726","/wiki/Ilse_Unold-bw-14","/wiki/Ilse_Unold","CDU","CDU",2008-10-01,2011-05-10,"bw",14
"BW.727","/wiki/Franz_Untersteller-bw-14","/wiki/Franz_Untersteller","Grüne","GRÜNE",2006-06-13,2011-05-10,"bw",14
"BW.728","/wiki/Ute_Vogt-bw-14","/wiki/Ute_Vogt","SPD","SPD",2006-06-13,2009-09-30,"bw",14
"BW.729","/wiki/Christa_Vossschulte-bw-14","/wiki/Christa_Vossschulte","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.730","/wiki/Georg_Wacker-bw-14","/wiki/Georg_Wacker","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.731","/wiki/J%C3%BCrgen_Walter_(Politiker,_1957)-bw-14","/wiki/J%C3%BCrgen_Walter_(Politiker,_1957)","Grüne","GRÜNE",2006-06-13,2011-05-10,"bw",14
"BW.732","/wiki/Wolfgang_Wehowsky_(Politiker)-bw-14","/wiki/Wolfgang_Wehowsky_(Politiker)","SPD","SPD",2009-10-01,2011-05-10,"bw",14
"BW.733","/wiki/Hans-Peter_Wetzel-bw-14","/wiki/Hans-Peter_Wetzel","FDP/DVP","FDP",2006-06-13,2011-05-10,"bw",14
"BW.734","/wiki/Alfred_Winkler_(Politiker)-bw-14","/wiki/Alfred_Winkler_(Politiker)","SPD","SPD",2006-06-13,2011-05-10,"bw",14
"BW.735","/wiki/Guido_Wolf-bw-14","/wiki/Guido_Wolf","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.736","/wiki/Werner_W%C3%B6lfle-bw-14","/wiki/Werner_W%C3%B6lfle","Grüne","GRÜNE",2006-06-13,2011-05-10,"bw",14
"BW.737","/wiki/Marianne_Wonnay-bw-14","/wiki/Marianne_Wonnay","SPD","SPD",2006-06-13,2011-05-10,"bw",14
"BW.738","/wiki/Norbert_Zeller-bw-14","/wiki/Norbert_Zeller","SPD","SPD",2006-06-13,2011-05-10,"bw",14
"BW.739","/wiki/Karl_Zimmermann_(Politiker,_1951)-bw-14","/wiki/Karl_Zimmermann_(Politiker,_1951)","CDU","CDU",2006-06-13,2011-05-10,"bw",14
"BW.740","/wiki/Katrin_Altpeter-bw-15","/wiki/Katrin_Altpeter","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.741","/wiki/Muhterem_Aras-bw-15","/wiki/Muhterem_Aras","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.742","/wiki/Theresia_Bauer-bw-15","/wiki/Theresia_Bauer","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.743","/wiki/Christoph_Bayer-bw-15","/wiki/Christoph_Bayer","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.744","/wiki/Norbert_Beck-bw-15","/wiki/Norbert_Beck","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.745","/wiki/Sascha_Binder-bw-15","/wiki/Sascha_Binder","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.746","/wiki/Dietrich_Birk-bw-15","/wiki/Dietrich_Birk","CDU","CDU",2011-05-11,2013-12-31,"bw",15
"BW.747","/wiki/Hans_Heribert_Bl%C3%A4ttgen-bw-15","/wiki/Hans_Heribert_Bl%C3%A4ttgen","SPD","SPD",2015-12-01,2016-05-10,"bw",15
"BW.748","/wiki/Thomas_Blenke-bw-15","/wiki/Thomas_Blenke","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.749","/wiki/Beate_B%C3%B6hlen-bw-15","/wiki/Beate_B%C3%B6hlen","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.750","/wiki/Sandra_Boser-bw-15","/wiki/Sandra_Boser","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.751","/wiki/Elke_Brunnemer-bw-15","/wiki/Elke_Brunnemer","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.752","/wiki/Friedrich_Bullinger-bw-15","/wiki/Friedrich_Bullinger","FDP/DVP","FDP",2011-05-11,2016-05-10,"bw",15
"BW.753","/wiki/Klaus_Burger-bw-15","/wiki/Klaus_Burger","CDU","CDU",2012-07-03,2016-05-10,"bw",15
"BW.754","/wiki/Andreas_Deuschle-bw-15","/wiki/Andreas_Deuschle","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.755","/wiki/Wolfgang_Drexler-bw-15","/wiki/Wolfgang_Drexler","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.756","/wiki/Marianne_Engeser-bw-15","/wiki/Marianne_Engeser","CDU","CDU",2011-09-01,2016-05-10,"bw",15
"BW.757","/wiki/Konrad_Epple-bw-15","/wiki/Konrad_Epple","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.758","/wiki/Arnulf_Freiherr_von_Eyb-bw-15","/wiki/Arnulf_Freiherr_von_Eyb","CDU","CDU",2011-05-11,2016-05-10,"bw",15
