id,name.wikitag,ministry,ministry.clean,position,position.clean,cabinet,party,economy,environment,education,infrastructure,health,justice,agriculture,culture_leisure,technology,regional,family,migration,genderequality,social,international,interior,state_chancellery,start.date,end.date,landtag.state.abb,electoralperiod
/wiki/Hartmut_Perschau-hb-15,/wiki/Hartmut_Perschau,Finanzen,finanzen,Senator/in,Minister/in,Scherf II,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-07-07,2003-07-03,hb,15
/wiki/Bernt_Schulte-hb-15,/wiki/Bernt_Schulte,"Inneres, Kultur und Sport",inneres kultur sport,Senator/in,Minister/in,Scherf II,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1999-07-07,2001-07-13,hb,15
/wiki/Hartmut_Perschau-hb-15,/wiki/Hartmut_Perschau,"Inneres, Kultur und Sport",inneres kultur sport,Senator/in,Minister/in,Scherf II,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2001-07-14,2001-08-28,hb,15
/wiki/Kuno_B%C3%B6se-hb-15,/wiki/Kuno_B%C3%B6se,"Inneres, Kultur und Sport",inneres kultur sport,Senator/in,Minister/in,Scherf II,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2001-08-29,2003-07-03,hb,15
/wiki/Josef_Hattig-hb-15,/wiki/Josef_Hattig,Wirtschaft und Häfen,wirtschaft häfen,Senator/in,Minister/in,Scherf II,CDU,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-07-07,2003-07-03,hb,15
/wiki/Christine_Wischer-hb-15,/wiki/Christine_Wischer,Bau und Umwelt,bau umwelt,Senator/in,Minister/in,Scherf II,SPD,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-07-07,2003-07-03,hb,15
/wiki/Willi_Lemke-hb-15,/wiki/Willi_Lemke,Bildung und Wissenschaft,bildung wissenschaft,Senator/in,Minister/in,Scherf II,SPD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-07-07,2003-07-03,hb,15
/wiki/Hilde_Adolf-hb-15,/wiki/Hilde_Adolf,"Arbeit, Frauen, Gesundheit, Jugend und Soziales",arbeit frauen gesundheit jugend soziales,Senator/in,Minister/in,Scherf II,SPD,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1999-07-07,2002-01-16,hb,15
/wiki/Christine_Wischer-hb-15,/wiki/Christine_Wischer,"Arbeit, Frauen, Gesundheit, Jugend und Soziales",arbeit frauen gesundheit jugend soziales,Senator/in,Minister/in,Scherf II,SPD,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2002-01-17,2002-03-19,hb,15
/wiki/Karin_R%C3%B6pke-hb-15,/wiki/Karin_R%C3%B6pke,"Arbeit, Frauen, Gesundheit, Jugend und Soziales",arbeit frauen gesundheit jugend soziales,Senator/in,Minister/in,Scherf II,SPD,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2002-03-20,2003-07-03,hb,15
/wiki/Henning_Scherf-hb-16,/wiki/Henning_Scherf,Staatskanzlei,staatskanzlei,Präsident/in des Senats und Bürgermeister/in,Regierungsoberhaupt,Scherf III,SPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003-07-04,2005-11-07,hb,16
/wiki/Henning_Scherf-hb-16,/wiki/Henning_Scherf,Justiz und Verfassung,justiz verfassung,Senator/in,Minister/in,Scherf III,SPD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2003-07-04,2005-11-07,hb,16
/wiki/Hartmut_Perschau-hb-16,/wiki/Hartmut_Perschau,Staatskanzlei,staatskanzlei,Stellvertretende/r Präsident/in des Senats und Bürgermeister/in,Stellvertretendes Regierungsoberhaupt,Scherf III,CDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003-07-04,2004-07-13,hb,16
