"","id","name.wikitag","fraction","fraction.id","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BY.63","/wiki/Engelbert_Kupka-by-15","/wiki/Engelbert_Kupka","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2005-12-17,2008-07-17,"by",15
"BY.64","/wiki/Markus_Sackmann-by-15","/wiki/Markus_Sackmann","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2003-10-06,2007-10-16,"by",15
"BY.65","/wiki/Karl_Freller-by-15","/wiki/Karl_Freller","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2007-10-17,2008-07-17,"by",15
"BY.66","/wiki/Johanna_Werner-Muggendorfer-by-15","/wiki/Johanna_Werner-Muggendorfer","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2003-10-06,2008-07-17,"by",15
"BY.67","/wiki/Susann_Biedefeld-by-15","/wiki/Susann_Biedefeld","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2003-10-06,2008-07-17,"by",15
"BY.68","/wiki/Karin_Radermacher-by-15","/wiki/Karin_Radermacher","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2003-10-06,2006-04-04,"by",15
"BY.69","/wiki/Thomas_Beyer_(Politiker,_1963)-by-15","/wiki/Thomas_Beyer_(Politiker,_1963)","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2006-04-05,2008-07-17,"by",15
"BY.70","/wiki/Georg_Schmid_(Politiker)-by-16","/wiki/Georg_Schmid_(Politiker)","CSU","CSU","Fraktionsvorsitz","Fraktionsvorsitz",2008-10-20,2013-04-25,"by",16
"BY.71","/wiki/Christa_Stewens-by-16","/wiki/Christa_Stewens","CSU","CSU","Fraktionsvorsitz","Fraktionsvorsitz",2013-04-16,2013-07-18,"by",16
"BY.72","/wiki/Helmut_Brunner-by-16","/wiki/Helmut_Brunner","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2013-07-18,"by",16
"BY.73","/wiki/Renate_Dodell-by-16","/wiki/Renate_Dodell","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2013-07-18,"by",16
"BY.74","/wiki/Karl_Freller-by-16","/wiki/Karl_Freller","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2013-07-18,"by",16
"BY.75","/wiki/Alexander_K%C3%B6nig_(Politiker)-by-16","/wiki/Alexander_K%C3%B6nig_(Politiker)","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-11-01,2013-07-18,"by",16
"BY.76","/wiki/Thomas_Kreuzer_(Politiker)-by-16","/wiki/Thomas_Kreuzer_(Politiker)","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2011-03-16,"by",16
"BY.77","/wiki/Reserl_Sem-by-16","/wiki/Reserl_Sem","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2011-03-23,2013-07-18,"by",16
"BY.78","/wiki/Franz_Maget-by-16","/wiki/Franz_Maget","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2008-10-20,2009-10-20,"by",16
"BY.79","/wiki/Markus_Rinderspacher-by-16","/wiki/Markus_Rinderspacher","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2009-10-21,2013-07-18,"by",16
"BY.80","/wiki/Johanna_Werner-Muggendorfer-by-16","/wiki/Johanna_Werner-Muggendorfer","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2011-06-07,"by",16
"BY.81","/wiki/Christa_Naa%C3%9F-by-16","/wiki/Christa_Naa%C3%9F","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2011-06-07,"by",16
"BY.82","/wiki/Thomas_Beyer_(Politiker,_1963)-by-16","/wiki/Thomas_Beyer_(Politiker,_1963)","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2011-06-07,"by",16
